location_id,timestamp,state,road_type,lane_count,speed_limit_kmph,has_signal,enforcement_level,blackspot_score,latitude,longitude,season,day_of_week,hour_of_day,lighting,weather,is_peak,vehicle_count_per_hr,avg_speed_kmph,peak,traffic_data_quality_flag,signal_status,green_duration_s,red_duration_s,yellow_duration_s,cycle_time_s,violations_count,signal_data_quality_flag,accident_occurred,severity,vehicles_involved,cause,veh_count_at_accident
L001,2025-07-01 00:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,0,Night,Rain,False,303.0,16.2,False,,Working,64.0,53.0,6.0,123.0,0.0,,False,,,,303
L001,2025-07-01 01:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,1,Night,Rain,False,317.0,18.3,False,,Working,53.0,114.0,4.0,171.0,0.0,,False,,,,317
L001,2025-07-01 02:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,2,Night,Clear,False,412.0,24.8,False,,Working,45.0,89.0,4.0,138.0,0.0,,False,,,,412
L001,2025-07-01 03:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,3,Night,Rain,False,333.0,7.6,False,,Working,77.0,109.0,9.0,195.0,0.0,,False,,,,333
L001,2025-07-01 04:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,4,Night,Clear,False,298.0,22.5,False,,Working,83.0,93.0,8.0,184.0,1.0,,False,,,,298
L001,2025-07-01 05:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,5,Dusk/Dawn,Clear,False,202.0,32.3,False,,Working,72.0,104.0,5.0,181.0,1.0,,False,,,,202
L001,2025-07-01 06:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,6,Day,Clear,False,858.0,10.3,False,,Working,58.0,67.0,6.0,131.0,2.0,,False,,,,858
L001,2025-07-01 07:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,7,Day,Rain,False,416.0,19.0,False,,Working,27.0,52.0,5.0,84.0,1.0,,False,,,,416
L001,2025-07-01 08:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,8,Day,Rain,True,440.0,18.0,True,,Working,44.0,101.0,5.0,150.0,1.0,,False,,,,440
L001,2025-07-01 09:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,9,Day,Clear,True,1078.0,16.2,True,,Working,28.0,70.0,3.0,101.0,0.0,,False,,,,1078
L001,2025-07-01 10:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,10,Day,Rain,True,1164.0,,True,,Working,37.0,38.0,6.0,81.0,2.0,,False,,,,1164
L001,2025-07-01 11:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,11,Day,Clear,True,519.0,14.2,True,,Working,76.0,110.0,6.0,192.0,2.0,,False,,,,519
L001,2025-07-01 12:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,12,Day,Rain,False,213.0,18.5,False,,Working,27.0,43.0,4.0,74.0,1.0,,False,,,,213
L001,2025-07-01 13:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,13,Day,Clear,False,409.0,25.1,False,,Working,70.0,41.0,7.0,118.0,2.0,,False,,,,409
L001,2025-07-01 14:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,14,Day,Rain,False,306.0,18.3,False,,Working,79.0,98.0,4.0,181.0,1.0,,False,,,,306
L001,2025-07-01 15:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,15,Day,Rain,False,434.0,13.1,False,,Off,,,,,,,False,,,,434
L001,2025-07-01 16:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,16,Day,Thunderstorm,False,778.0,,False,,Working,41.0,78.0,6.0,125.0,1.0,,True,Minor,1.0,Overspeeding,778
L001,2025-07-01 17:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,17,Day,Clear,True,513.0,21.2,True,,Working,69.0,82.0,3.0,154.0,3.0,,False,,,,513
L001,2025-07-01 18:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,18,Day,Clear,True,976.0,9.0,True,,Off,,,,,,,True,Minor,2.0,Rear-end / Following too close,976
L001,2025-07-01 19:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,19,Dusk/Dawn,Clear,True,822.0,15.5,True,,Working,60.0,120.0,6.0,186.0,4.0,,False,,,,822
L001,2025-07-01 20:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,20,Night,Thunderstorm,True,524.0,13.5,True,,Working,57.0,71.0,8.0,136.0,0.0,,False,,,,524
L001,2025-07-01 21:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,21,Night,Rain,True,898.0,11.7,True,,Working,56.0,84.0,8.0,148.0,0.0,,False,,,,898
L001,2025-07-01 22:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,22,Night,Clear,False,492.0,16.3,False,,Working,38.0,47.0,10.0,95.0,1.0,,False,,,,492
L001,2025-07-01 23:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,1,23,Night,Rain,False,468.0,9.4,False,,Working,73.0,89.0,3.0,165.0,2.0,,False,,,,468
L001,2025-07-02 00:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,2,0,Night,Rain,False,300.0,12.6,False,,Working,50.0,68.0,5.0,123.0,2.0,,False,,,,300
L001,2025-07-02 01:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,2,1,Night,Rain,False,742.0,5.0,False,,Working,43.0,91.0,4.0,138.0,1.0,,False,,,,742
L001,2025-07-02 02:00:00,Telangana,urban,2,47,True,low,0.318,17.314579,78.567384,monsoon,2,2,Night,Rain,False,494.0,16.7,False,,Off,,,,,,,True,Minor,1.0,Weather-related,494
